Address,Neighborhood,Bedrooms,Bathrooms,Square Meters,Building Age,Garden,Garage,Floors,Property Type,Heating Type,Balcony,Interior Style,View,Materials,Building Status,Price,Mapped_location,Unnamed: 0,Property Name,price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code
22 King's Road,Islington,3,1,204,70,1,1,2,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Renovated,2448000,Islington,1083,Reliance Wharf,435000,Flat / Apartment,527,1,1,1,Islington,London,N1 5ET
185 Fleet Street,Islington,1,2,118,54,1,0,1,Detached House,Electric Heating,Low-level Balcony,Industrial,Park,Marble,Renovated,1416000,Islington,744,Alwyne Road,3500000,House,2216,4,4,4,Islington,London,N1 2HW
107 Oxford Street,Islington,5,2,152,97,0,0,1,Semi-Detached,Electric Heating,High-level Balcony,Classic,Sea,Granite,Renovated,1459200,Islington,309,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD
112 Strand,Kensington,3,3,157,21,0,1,2,Semi-Detached,Electric Heating,No Balcony,Modern,City,Granite,Renovated,2386399,Kensington and Chelsea,3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
138 Park Lane,Islington,3,2,78,88,1,1,3,Apartment,Gas Heating,No Balcony,Classic,Sea,Wood,Old,624000,Islington,1480,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
105 Piccadilly Circus,Greenwich,2,2,235,53,0,1,2,Detached House,Electric Heating,High-level Balcony,Minimalist,Street,Laminate Flooring,New,2350000,Greenwich,1676,48 Reminder Lane,450000,Flat / Apartment,566,1,1,1,Greenwich,London,SE10 0NQ
20 Regent Street,Islington,2,1,201,42,0,1,3,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Granite,New,1929600,Islington,1106,Buckingham Road,699950,House,1255,1,1,1,Islington,London,N1 4JA
100 Bond Street,Islington,4,3,76,27,1,0,2,Apartment,Gas Heating,Low-level Balcony,Classic,Park,Wood,New,608000,Islington,260,Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL
27 Oxford Street,Kensington,4,3,124,64,0,0,1,Apartment,Underfloor Heating,No Balcony,Minimalist,City,Marble,New,1570666,Kensington and Chelsea,507,Queen's Gate Gardens,1595000,Flat / Apartment,1170,2,2,2,Kensington,London,SW7 5RR
33 Fleet Street,Islington,3,1,131,63,0,1,1,Detached House,Central Heating,High-level Balcony,Modern,Park,Granite,Renovated,1572000,Islington,714,Cloudesley Place,1435000,House,1341,3,3,3,Islington,London,N1 0JA
72 Camden High Street,Islington,5,1,121,77,0,1,1,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Old,1452000,Islington,1808,Islington Place,3350000,House,3564,4,4,4,Islington,London,N1 0ET
23 Regent Street,Marylebone,1,1,128,4,1,1,3,Detached House,Gas Heating,High-level Balcony,Modern,Garden,Wood,New,1920000,Westminster,3116,Wheatley Street,2200000,Flat / Apartment,1119,2,2,2,Marylebone,London,W1G 8PS
8 Oxford Street,Islington,2,2,101,80,1,1,3,Apartment,Central Heating,High-level Balcony,Classic,City,Wood,Old,808000,Islington,151,Barnsbury Park,5500000,House,3674,4,4,4,Islington,London,N1 1HQ
106 Oxford Street,Kensington,2,1,143,92,1,1,3,Semi-Detached,Electric Heating,Low-level Balcony,Modern,Garden,Laminate Flooring,Old,2173600,Kensington and Chelsea,3448,Pembroke Square,4950000,House,2881,4,4,4,Kensington,London,W8 6PD
172 Bond Street,Marylebone,1,2,166,96,1,0,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Classic,Garden,Wood,New,1992000,Westminster,3253,Upper Wimpole Street,12750000,House,7526,6,6,6,Marylebone,London,W1G 6LG
163 Regent Street,Chelsea,3,2,114,53,1,0,3,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Garden,Wood,Renovated,1824000,Kensington and Chelsea,766,Sloane Court East,750000,Flat / Apartment,599,1,1,1,Chelsea,London,SW3 4TQ
116 King's Road,Islington,4,3,244,13,1,0,1,Semi-Detached,Electric Heating,High-level Balcony,Industrial,City,Wood,New,2342400,Islington,1439,Wenlock Road,629000,Flat / Apartment,640,2,2,2,Islington,London,N1 7SL
185 Park Lane,Marylebone,4,3,193,73,0,0,3,Detached House,Electric Heating,High-level Balcony,Minimalist,Garden,Wood,New,2895000,Westminster,178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW
72 Camden High Street,Islington,5,1,121,77,0,1,1,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Old,1452000,Islington,355,Thornhill Crescent,2850000,House,2857,5,5,5,Islington,London,N1 1BJ
52 Piccadilly Circus,Marylebone,3,2,109,44,1,1,1,Detached House,Underfloor Heating,No Balcony,Minimalist,Street,Laminate Flooring,Renovated,1635000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
96 King's Road,Greenwich,4,3,75,8,1,0,3,Apartment,Underfloor Heating,Low-level Balcony,Minimalist,Sea,Marble,Renovated,500000,Greenwich,1676,48 Reminder Lane,450000,Flat / Apartment,566,1,1,1,Greenwich,London,SE10 0NQ
39 Piccadilly Circus,Notting Hill,1,3,199,22,0,0,3,Detached House,Underfloor Heating,Low-level Balcony,Industrial,Garden,Laminate Flooring,Renovated,3184000,Kensington and Chelsea,3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
169 Bond Street,Notting Hill,4,3,59,93,0,0,2,Detached House,Gas Heating,No Balcony,Classic,City,Wood,Old,943999,Kensington and Chelsea,232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU
111 Fleet Street,Notting Hill,3,2,63,74,1,0,3,Semi-Detached,Underfloor Heating,High-level Balcony,Minimalist,Garden,Laminate Flooring,Old,806400,Kensington and Chelsea,3428,Kensington Park Road,9000000,House,3932,4,4,4,Notting Hill,London,W11 3BU
85 Oxford Street,Notting Hill,4,3,112,37,0,0,3,Apartment,Electric Heating,No Balcony,Minimalist,Garden,Laminate Flooring,Old,1194666,Kensington and Chelsea,2873,Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP
84 Bond Street,Islington,4,2,96,10,1,0,2,Detached House,Electric Heating,No Balcony,Minimalist,Park,Wood,Renovated,1152000,Islington,2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
193 Baker Street,Marylebone,4,1,111,28,1,0,3,Semi-Detached,Central Heating,High-level Balcony,Classic,Garden,Wood,Old,1332000,Westminster,178,Devonshire Mews South,3750000,House,3256,3,3,3,Marylebone,London,W1G 6QW
21 Regent Street,Marylebone,3,2,248,62,0,0,3,Apartment,Gas Heating,High-level Balcony,Modern,Sea,Marble,Renovated,2480000,Westminster,2905,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
117 King's Road,Notting Hill,4,3,113,97,1,1,1,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,City,Marble,Old,1446399,Kensington and Chelsea,3430,Pembridge Villas,5950000,New development,2770,2,2,2,Notting Hill,London,W11 2SU
115 Fleet Street,Islington,1,2,206,11,0,1,2,Apartment,Underfloor Heating,Low-level Balcony,Minimalist,Garden,Laminate Flooring,Renovated,1648000,Islington,2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
24 Fleet Street,Marylebone,4,1,98,79,1,0,1,Detached House,Gas Heating,Low-level Balcony,Classic,Garden,Granite,Renovated,1470000,Westminster,3336,Bryanston Mews West,5250000,House,3108,8,8,8,Marylebone,London,W1H 2BW
155 Park Lane,Camden,5,2,131,3,1,0,2,Detached House,Underfloor Heating,High-level Balcony,Modern,Park,Laminate Flooring,Renovated,1703000,Camden,2521,Arlington Road,699999,Flat / Apartment,759,1,1,1,Camden,London,NW1 7ET
169 Oxford Street,Marylebone,2,1,225,57,0,0,2,Apartment,Central Heating,High-level Balcony,Classic,Sea,Marble,Old,2250000,Westminster,741,Bryanston Square,2200000,Flat / Apartment,1163,3,3,3,Marylebone,London,W1H 2DH
32 Piccadilly Circus,Marylebone,1,1,79,39,0,0,1,Apartment,Underfloor Heating,No Balcony,Minimalist,Sea,Marble,Old,790000,Westminster,2805,Montagu Square,2595000,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW
19 Piccadilly Circus,Chelsea,4,1,85,83,0,1,2,Semi-Detached,Gas Heating,High-level Balcony,Industrial,City,Granite,Renovated,1360000,Kensington and Chelsea,1117,Smith Terrace,2975000,House,2041,3,3,3,Chelsea,London,SW3 4DL
165 Bond Street,Marylebone,3,2,102,36,1,1,2,Detached House,Electric Heating,High-level Balcony,Minimalist,Sea,Laminate Flooring,Old,1530000,Westminster,73,Portland Place,2100000,Flat / Apartment,1208,3,3,3,Marylebone,London,W1B 1NX
71 Oxford Street,Kensington,2,2,77,48,1,0,1,Apartment,Gas Heating,Low-level Balcony,Classic,Sea,Laminate Flooring,Renovated,975333,Kensington and Chelsea,3349,Kensington Church Street,3950000,New development,1924,3,3,3,Kensington,London,W8 7LP
170 Bond Street,Soho,3,3,83,7,1,1,2,Apartment,Gas Heating,No Balcony,Modern,Street,Wood,New,774666,Westminster,2765,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ
102 King's Road,Marylebone,2,3,86,47,1,1,2,Detached House,Electric Heating,High-level Balcony,Industrial,City,Granite,Old,1290000,Westminster,474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
146 King's Road,Islington,4,2,113,72,1,0,1,Semi-Detached,Gas Heating,Low-level Balcony,Classic,Park,Granite,Old,1084800,Islington,1431,Remington Street,1050000,House,1206,2,2,2,Islington,London,N1 8DH
164 King's Road,Marylebone,5,2,146,96,1,0,2,Semi-Detached,Central Heating,No Balcony,Industrial,Street,Wood,Renovated,1752000,Westminster,1308,Devonshire Place Mews,3250000,House,1738,3,3,3,Marylebone,London,W1G 6DD
32 Regent Street,Notting Hill,3,3,152,66,1,1,3,Detached House,Gas Heating,No Balcony,Industrial,City,Laminate Flooring,New,2432000,Kensington and Chelsea,1281,Clarendon Road,3600000,House,1831,5,5,5,Notting Hill,London,W11 2HW
174 Piccadilly Circus,Marylebone,4,3,60,5,0,0,1,Detached House,Gas Heating,Low-level Balcony,Classic,City,Marble,Old,900000,Westminster,3321,Mansfield Street,4950000,Flat / Apartment,2097,3,3,3,Marylebone,London,W1G 9NF
76 Oxford Street,Marylebone,4,2,51,26,1,0,1,Semi-Detached,Gas Heating,High-level Balcony,Industrial,Street,Marble,Renovated,612000,Westminster,2231,Wesley Street,5250000,House,3092,5,5,5,Marylebone,London,W1G 8PT
180 Park Lane,Shoreditch,1,3,82,6,1,1,1,Detached House,Underfloor Heating,High-level Balcony,Classic,City,Granite,Renovated,901999,Hackney,2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
63 Baker Street,Notting Hill,1,3,92,12,0,1,2,Apartment,Gas Heating,No Balcony,Classic,Street,Laminate Flooring,Old,981333,Kensington and Chelsea,570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
171 Park Lane,Westminster,5,3,105,83,1,1,3,Detached House,Central Heating,No Balcony,Modern,Garden,Laminate Flooring,Old,1890000,Westminster,3334,Buckingham Gate,1950000,Flat / Apartment,1244,2,2,2,Westminster,London,SW1E 6PB
81 Strand,Westminster,5,2,227,56,0,1,3,Semi-Detached,Central Heating,Low-level Balcony,Classic,City,Granite,Renovated,3268800,Westminster,1854,Greencoat Place,730000,Flat / Apartment,693,2,2,2,Westminster,London,SW1P 1AB
175 Piccadilly Circus,Islington,5,1,71,16,1,1,1,Detached House,Underfloor Heating,Low-level Balcony,Industrial,Park,Granite,Old,852000,Islington,1244,Northchurch Road,500000,Flat / Apartment,675,1,1,1,Islington,London,N1 3FL
44 Park Lane,Marylebone,4,2,64,88,0,0,2,Apartment,Underfloor Heating,Low-level Balcony,Classic,Street,Marble,Old,640000,Westminster,1285,Montagu Square,1375000,Flat / Apartment,1002,2,2,2,Marylebone,London,W1H 2LW
122 Bond Street,Camden,4,3,206,14,1,1,1,Detached House,Underfloor Heating,No Balcony,Modern,Sea,Granite,New,2678000,Camden,1237,Murray Street,735000,Flat / Apartment,953,2,2,2,Camden,London,NW1 9RE
84 Bond Street,Islington,4,2,96,10,1,0,2,Detached House,Electric Heating,No Balcony,Minimalist,Park,Wood,Renovated,1152000,Islington,1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
2 Oxford Street,Islington,4,2,230,68,0,0,2,Semi-Detached,Gas Heating,No Balcony,Minimalist,Garden,Granite,Renovated,2208000,Islington,1224,Lofting Road,599950,Flat / Apartment,657,2,2,2,Islington,London,N1 1ET
84 Bond Street,Islington,4,2,96,10,1,0,2,Detached House,Electric Heating,No Balcony,Minimalist,Park,Wood,Renovated,1152000,Islington,1480,Wallace Road,899000,Flat / Apartment,1003,2,2,2,Islington,London,N1 2PG
98 Camden High Street,Marylebone,3,2,200,71,1,1,2,Apartment,Electric Heating,High-level Balcony,Classic,Street,Wood,Old,2000000,Westminster,2805,Montagu Square,2595000,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW
45 Bond Street,Islington,3,2,116,71,0,0,2,Apartment,Central Heating,High-level Balcony,Minimalist,Park,Granite,New,928000,Islington,1727,Cloudesley Road,599950,Flat / Apartment,432,1,1,1,Islington,London,N1 0EN
116 Camden High Street,Camden,4,2,166,68,1,1,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Classic,Garden,Wood,Renovated,1726399,Camden,398,St. Augustines Road,499000,Flat / Apartment,451,1,1,1,Camden,London,NW1 9RN
172 King's Road,Marylebone,3,1,167,66,0,1,1,Semi-Detached,Electric Heating,High-level Balcony,Classic,Garden,Wood,Old,2004000,Westminster,3116,Wheatley Street,2200000,Flat / Apartment,1119,2,2,2,Marylebone,London,W1G 8PS
164 King's Road,Marylebone,5,2,146,96,1,0,2,Semi-Detached,Central Heating,No Balcony,Industrial,Street,Wood,Renovated,1752000,Westminster,2383,Hallam Street,1095000,Flat / Apartment,663,2,2,2,Marylebone,London,W1W 6JN
56 Piccadilly Circus,Camden,2,3,191,2,1,0,3,Semi-Detached,Central Heating,Low-level Balcony,Modern,Sea,Wood,Renovated,1986399,Camden,2966,Plender Street,525000,Flat / Apartment,565,1,1,1,Camden,London,NW1 0LB
109 Strand,Notting Hill,1,2,60,99,1,1,3,Semi-Detached,Central Heating,High-level Balcony,Modern,Garden,Laminate Flooring,Renovated,768000,Kensington and Chelsea,3037,Ladbroke Grove,485000,Flat / Apartment,454,1,1,1,Notting Hill,London,W11 1PG
33 Fleet Street,Islington,3,1,131,63,0,1,1,Detached House,Central Heating,High-level Balcony,Modern,Park,Granite,Renovated,1572000,Islington,2071,Cross Street,3300000,House,2640,5,5,5,Islington,London,N1 2BH
29 Fleet Street,Marylebone,4,1,57,69,0,1,3,Detached House,Electric Heating,No Balcony,Classic,Garden,Laminate Flooring,Old,855000,Westminster,2525,Portland Place,4900000,Penthouse,2122,2,2,2,Marylebone,London,W1B 1PW
182 Bond Street,Islington,4,2,147,62,0,1,1,Apartment,Underfloor Heating,High-level Balcony,Industrial,Park,Laminate Flooring,Renovated,1176000,Islington,1439,Wenlock Road,629000,Flat / Apartment,640,2,2,2,Islington,London,N1 7SL
6 Bond Street,Islington,4,1,69,34,1,0,1,Apartment,Underfloor Heating,No Balcony,Classic,Park,Marble,Old,552000,Islington,3382,Mortimer Road,3500000,House,3174,4,4,4,Islington,London,N1 4LB
86 Bond Street,Westminster,2,1,86,59,1,0,3,Detached House,Central Heating,No Balcony,Industrial,Street,Granite,Renovated,1548000,Westminster,79,Great Peter Street,1100000,New development,791,2,2,2,Westminster,London,SW1P 2BN
106 Park Lane,Marylebone,2,2,53,98,1,1,3,Apartment,Underfloor Heating,High-level Balcony,Modern,Garden,Wood,Old,530000,Westminster,1543,Bryanston Square,1995000,Flat / Apartment,1156,3,3,3,Marylebone,London,W1H 2DX
52 Piccadilly Circus,Marylebone,3,2,109,44,1,1,1,Detached House,Underfloor Heating,No Balcony,Minimalist,Street,Laminate Flooring,Renovated,1635000,Westminster,1710,Lisson Grove,1695000,Flat / Apartment,1636,4,4,4,Marylebone,London,NW1 6LW
162 Fleet Street,Marylebone,5,2,148,5,0,1,2,Semi-Detached,Electric Heating,High-level Balcony,Industrial,City,Wood,New,1776000,Westminster,474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
155 Park Lane,Camden,5,2,131,3,1,0,2,Detached House,Underfloor Heating,High-level Balcony,Modern,Park,Laminate Flooring,Renovated,1703000,Camden,2948,Inverness Street,450000,Flat / Apartment,500,1,1,1,Camden,London,NW1 7HB
41 Baker Street,Islington,4,2,224,48,0,1,2,Semi-Detached,Central Heating,High-level Balcony,Minimalist,Garden,Wood,Renovated,2150400,Islington,309,Douglas Road,1900000,House,1703,5,5,5,Islington,London,N1 2LD
104 Baker Street,Islington,1,1,141,71,1,0,1,Detached House,Gas Heating,No Balcony,Industrial,Garden,Wood,Renovated,1692000,Islington,1830,Alwyne Square,2650000,House,2314,5,5,5,Islington,London,N1 2JX
132 Baker Street,Islington,5,3,99,17,0,1,2,Semi-Detached,Gas Heating,No Balcony,Minimalist,Street,Marble,Renovated,950400,Islington,3153,Malvern Terrace,2000000,House,1450,4,4,4,Islington,London,N1 1HR
153 Piccadilly Circus,Marylebone,1,3,209,60,1,0,3,Detached House,Underfloor Heating,Low-level Balcony,Industrial,City,Laminate Flooring,New,3135000,Westminster,2905,Balcombe Street,520000,Flat / Apartment,411,1,1,1,Marylebone,London,NW1 6HD
11 Piccadilly Circus,Islington,2,2,143,41,1,0,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,City,Wood,New,1716000,Islington,24,College Cross,550000,Flat / Apartment,479,1,1,1,Islington,London,N1 1PT
96 Camden High Street,Notting Hill,1,1,103,30,1,1,3,Semi-Detached,Electric Heating,No Balcony,Minimalist,Street,Laminate Flooring,Old,1318399,Kensington and Chelsea,570,Westbourne Park Road,4750000,New development,2552,4,4,4,Notting Hill,London,W2 5PH
194 Bond Street,Islington,2,1,177,55,0,0,1,Apartment,Central Heating,High-level Balcony,Modern,Sea,Granite,Renovated,1416000,Islington,1689,Enfield Road,699950,New development,942,2,2,2,Islington,London,N1 5EN
98 Fleet Street,Marylebone,3,2,152,44,0,0,3,Detached House,Electric Heating,Low-level Balcony,Modern,Garden,Wood,Renovated,2280000,Westminster,2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
120 Bond Street,Kensington,2,3,241,16,1,1,2,Semi-Detached,Underfloor Heating,No Balcony,Classic,City,Granite,Renovated,3663199,Kensington and Chelsea,3349,Kensington Church Street,3950000,New development,1924,3,3,3,Kensington,London,W8 7LP
198 Oxford Street,Shoreditch,3,2,198,15,0,0,1,Detached House,Electric Heating,High-level Balcony,Classic,City,Laminate Flooring,New,2178000,Hackney,2057,City Road,1000000,New development,772,2,2,2,Shoreditch,London,EC1V 1AZ
198 Oxford Street,Shoreditch,3,2,198,15,0,0,1,Detached House,Electric Heating,High-level Balcony,Classic,City,Laminate Flooring,New,2178000,Hackney,1960,Baxendale Street,950000,House,987,2,2,2,Shoreditch,London,E2 7BY
72 Oxford Street,Marylebone,5,2,213,44,0,0,1,Apartment,Electric Heating,Low-level Balcony,Industrial,Park,Wood,Renovated,2130000,Westminster,2136,Dukes Mews,4000000,House,2435,3,3,3,Marylebone,London,W1U 3ET
182 Baker Street,Marylebone,4,3,192,84,1,1,3,Detached House,Central Heating,Low-level Balcony,Industrial,City,Granite,New,2880000,Westminster,474,Montagu Mews North,2500000,House,1323,3,3,3,Marylebone,London,W1H 2JR
196 King's Road,Islington,2,2,183,5,0,0,1,Detached House,Electric Heating,No Balcony,Minimalist,Sea,Marble,New,2196000,Islington,714,Cloudesley Place,1435000,House,1341,3,3,3,Islington,London,N1 0JA
164 Strand,Westminster,4,2,121,76,0,1,1,Semi-Detached,Underfloor Heating,No Balcony,Modern,City,Wood,Renovated,1742400,Westminster,1882,Rochester Row,995000,Flat / Apartment,747,2,2,2,Westminster,London,SW1P 1LQ
165 Bond Street,Marylebone,3,2,102,36,1,1,2,Detached House,Electric Heating,High-level Balcony,Minimalist,Sea,Laminate Flooring,Old,1530000,Westminster,2622,Portland Place,1050000,Flat / Apartment,631,2,2,2,Marylebone,London,W1B 1NX
132 Park Lane,Shoreditch,2,1,108,14,0,0,3,Detached House,Gas Heating,Low-level Balcony,Classic,Street,Laminate Flooring,Old,1188000,Hackney,2473,City Road,1977000,New development,1075,2,2,2,Shoreditch,London,EC1V 1AA
50 Oxford Street,Marylebone,1,2,192,2,0,0,3,Apartment,Central Heating,No Balcony,Industrial,Sea,Marble,New,1920000,Westminster,3203,Wyndham Street,3650000,House,2390,4,4,4,Marylebone,London,W1H 1DB
122 King's Road,Marylebone,4,3,211,3,0,0,1,Apartment,Electric Heating,High-level Balcony,Classic,Garden,Marble,New,2110000,Westminster,707,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
171 Oxford Street,Notting Hill,4,1,227,98,0,1,1,Detached House,Central Heating,High-level Balcony,Modern,City,Wood,Old,3631999,Kensington and Chelsea,3428,Kensington Park Road,9000000,House,3932,4,4,4,Notting Hill,London,W11 3BU
106 Park Lane,Marylebone,2,2,53,98,1,1,3,Apartment,Underfloor Heating,High-level Balcony,Modern,Garden,Wood,Old,530000,Westminster,938,Wimpole Mews,2500000,House,1266,3,3,3,Marylebone,London,W1G 8PE
77 Park Lane,Islington,4,2,79,59,1,1,1,Semi-Detached,Underfloor Heating,High-level Balcony,Industrial,Garden,Wood,Renovated,758400,Islington,2019,Chantry Street,1600000,House,1195,2,2,2,Islington,London,N1 8NL
81 Regent Street,Marylebone,1,3,111,69,0,1,2,Semi-Detached,Electric Heating,Low-level Balcony,Minimalist,Park,Laminate Flooring,Old,1332000,Westminster,938,Wimpole Mews,2500000,House,1266,3,3,3,Marylebone,London,W1G 8PE
17 King's Road,Soho,3,1,228,3,1,1,2,Detached House,Underfloor Heating,High-level Balcony,Industrial,Street,Marble,New,3192000,Westminster,2765,Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ
106 Park Lane,Marylebone,2,2,53,98,1,1,3,Apartment,Underfloor Heating,High-level Balcony,Modern,Garden,Wood,Old,530000,Westminster,72,Weymouth Mews,3500000,House,1763,4,4,4,Marylebone,London,W1G 7EB
182 Bond Street,Islington,4,2,147,62,0,1,1,Apartment,Underfloor Heating,High-level Balcony,Industrial,Park,Laminate Flooring,Renovated,1176000,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
97 Regent Street,Greenwich,3,2,155,33,1,1,3,Detached House,Electric Heating,No Balcony,Modern,Sea,Granite,Renovated,1550000,Greenwich,2688,Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN
183 Piccadilly Circus,Chelsea,3,2,94,47,1,1,1,Detached House,Central Heating,No Balcony,Minimalist,Garden,Granite,Renovated,1880000,Kensington and Chelsea,171,Redcliffe Gardens,1195000,Flat / Apartment,872,2,2,2,Chelsea,London,SW10 9HA
164 King's Road,Marylebone,5,2,146,96,1,0,2,Semi-Detached,Central Heating,No Balcony,Industrial,Street,Wood,Renovated,1752000,Westminster,2227,Marylebone High Street,7250000,New development,1991,3,3,3,Marylebone,London,W1U 4PY
171 Park Lane,Marylebone,1,1,88,57,1,0,3,Detached House,Gas Heating,High-level Balcony,Classic,Garden,Granite,Renovated,1320000,Westminster,2785,Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT
140 Park Lane,Westminster,4,1,115,9,1,1,2,Semi-Detached,Underfloor Heating,Low-level Balcony,Classic,Street,Marble,Renovated,1656000,Westminster,230,Tufton Street,1650000,Flat / Apartment,1099,2,2,2,Westminster,London,SW1P 3AF
41 King's Road,Marylebone,2,3,230,69,1,0,3,Semi-Detached,Underfloor Heating,No Balcony,Minimalist,Street,Granite,Old,2760000,Westminster,707,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
37 Regent Street,Notting Hill,1,3,217,3,1,1,3,Apartment,Gas Heating,High-level Balcony,Classic,Garden,Marble,New,2314666,Kensington and Chelsea,3141,Hereford Road,725000,Flat / Apartment,521,1,1,1,Notting Hill,London,W2 5AJ
77 Oxford Street,Islington,3,1,177,86,1,0,2,Apartment,Central Heating,High-level Balcony,Modern,Street,Marble,New,1416000,Islington,3014,Cross Street,850000,Flat / Apartment,770,2,2,2,Islington,London,N1 2BA
33 Strand,Shoreditch,5,2,184,78,0,1,1,Apartment,Electric Heating,High-level Balcony,Modern,Street,Marble,Old,1349333,Hackney,1919,City Road,500000,Flat / Apartment,551,1,1,1,Shoreditch,London,EC1V 1AG
12 Fleet Street,Shoreditch,5,2,134,66,1,0,3,Detached House,Central Heating,No Balcony,Modern,Park,Laminate Flooring,New,1474000,Hackney,2474,City Road,2379000,New development,1372,3,3,3,Shoreditch,London,EC1V 1AA
107 Oxford Street,Islington,5,2,152,97,0,0,1,Semi-Detached,Electric Heating,High-level Balcony,Classic,Sea,Granite,Renovated,1459200,Islington,714,Cloudesley Place,1435000,House,1341,3,3,3,Islington,London,N1 0JA
107 Piccadilly Circus,Shoreditch,1,1,159,14,0,0,3,Semi-Detached,Electric Heating,No Balcony,Minimalist,Street,Marble,Renovated,1399200,Hackney,1461,Quaker Street,799950,Penthouse,842,2,2,2,Shoreditch,London,E1 6SY
36 King's Road,Shoreditch,1,2,104,87,1,0,1,Apartment,Underfloor Heating,No Balcony,Minimalist,Park,Granite,Old,762666,Hackney,1937,Provost Street,500000,Flat / Apartment,508,1,1,1,Shoreditch,London,N1 7NB
34 King's Road,Marylebone,3,2,160,48,0,1,2,Semi-Detached,Central Heating,No Balcony,Modern,Park,Laminate Flooring,New,1920000,Westminster,707,Devonshire Street,875000,Flat / Apartment,570,2,2,2,Marylebone,London,W1G 6PY
125 Oxford Street,Islington,3,1,64,43,0,0,1,Apartment,Underfloor Heating,High-level Balcony,Minimalist,City,Laminate Flooring,Old,512000,Islington,1202,Cloudesley Street,625000,Flat / Apartment,513,1,1,1,Islington,London,N1 0HX
17 Strand,Islington,1,3,104,2,0,0,2,Detached House,Electric Heating,High-level Balcony,Classic,City,Granite,New,1248000,Islington,3056,Packington Street,1000000,Flat / Apartment,923,2,2,2,Islington,London,N1 8RA
106 Fleet Street,Camden,1,2,216,29,0,1,1,Semi-Detached,Gas Heating,High-level Balcony,Modern,Street,Laminate Flooring,Renovated,2246399,Camden,2521,Arlington Road,699999,Flat / Apartment,759,1,1,1,Camden,London,NW1 7ET
48 King's Road,Marylebone,3,3,232,83,1,1,1,Semi-Detached,Underfloor Heating,Low-level Balcony,Industrial,Sea,Laminate Flooring,New,2784000,Westminster,742,Shillibeer Place,1750000,House,1224,3,3,3,Marylebone,London,W1H 4DR
99 Oxford Street,Marylebone,5,2,70,47,0,0,1,Detached House,Electric Heating,Low-level Balcony,Classic,Park,Laminate Flooring,Old,1050000,Westminster,3116,Wheatley Street,2200000,Flat / Apartment,1119,2,2,2,Marylebone,London,W1G 8PS
157 Baker Street,Islington,5,1,184,59,0,1,2,Semi-Detached,Gas Heating,High-level Balcony,Minimalist,Sea,Wood,Renovated,1766400,Islington,529,Eagle Wharf Road,895000,New development,1033,3,3,3,Islington,London,N1 7EG
